Local municipality name,District municipality name,Province abbreviation,Province  code,District municipality code,Province name,Metro/Local municipality code,Unnamed: 7,Local municipality code,ID,Piped (tap) water inside dwelling,Piped (tap) water inside yard,Piped (tap) water on community stand,No access to piped (tap) water,Total Water,Flush toilet,Chemical toilet,Pit toilet,Bucket toilet,Other Toilet,No Toilet,Total Toilet,Removed by local authority/private company at least once a week,Removed by local authority/private company less often,Communal refuse dump,Own refuse dump,Other dumps,No rubbish disposal,Total refuse dump,Total Population,Male,Female,Attended School,Did not attend school,Total kids eligible for education,Formal dwelling,Traditional dwelling,Informal dwelling,Other dwellings,Total dwellings,No schooling,Some primary schooling,Completed primary schooling,Some secondary schooling,Grade 12/Std10,Higher education,Other type of education,Lighting Electricity,Lighting Gas,lighting Paraffin,lighting Candles,lighting Solar,No energy,Total energy for lighting,age of Male between 0 and 4,age of Female between 0 and 4,age of Male between 5 and 9,age of female between 5 and 9,age of Male between 10 and 14,age of Female between 10 and 14,age of Male between 15 and 19,age of Female between 15 and 19,age of Male between 20 and 24,age of Female between 20 and 24,25-29 age of Male between 25 and 29,Age of Female between 25 and 29,Age of Male between 30 and 34,age of Female between 30 and 34,Age of Male between 35 and 39,age of Female between 35 and 39,age of Male between 40 and 44,age of Female between 40 and 44,Age of Male between 45 and 49,Age of Female between 45 and 49,Age of Male between 50 and 54,Age of Female between 50 and 54,Age of Male between 55 and 59,Age of Female between 55 and 59,age of Male between 60 and 64,age of Female between 60 and 64,65 - 69 age Male,65 - 69 age Female,70 -74 age Male,70 -74 age Female,75 - 79 age Male,75 - 79 age Female,80 - 84 age Male,80 - 84 age Female,85+ age Male,85+ age Female
SA,,,,,,,,,,6684219,3918436,2581115,1265893,14449664,8684965,360700,4052129,297844,305439,748588,14449664,8972526,218284,271781,4075898,129189,781987,14449664,51770560,25188791,26581769,13837961,5023110,18861072,11218817,1139894,1962709,128244,14449664,2665874,3790134,1413895,10481577,8919608,3644617,113586,12241935,34346,426201,1649058,51503,46621,14449664,2867585,2817867,2425181,2394570,2344275,2250611,2498572,2504905,2694646,2679896,2542682,2516635,2036206,1992804,1709347,1758420,1402328,1546291,1195740,1424543,1011349,1206940,811950,985458,612364,773404,401548,556256,293498,454832,165283,315984,100694,222222,75543,180130
Western Cape,,WC,1,,Western Cape,,,,,1227550,217096,175041,14238,1633925,1463412,14666,19270,59932,26506,50139,1633925,1468368,19973,44653,74254,10223,16453,1633925,5822734,2858506,2964228,1221232,601519,1822751,1313569,7773,296950,15633,1633925,102242,401362,208798,1430909,1068669,526600,18304,1525906,4011,56139,39428,3935,4506,1633925,288052,276748,231828,228333,221782,217061,235421,244701,292007,291543,299476,293072,245789,235812,219196,217442,193282,201755,164540,183326,137624,155061,105257,122841,81580,96978,56107,69103,40357,52837,24135,35806,13253,23182,8821,18627
City of Cape Town,,WC,1,,Western Cape,CPT,,199,3,801686,130952,128658,7219,1068515,963777,12341,4120,48509,10698,29068,1068515,1007234,7258,29613,14682,2519,7209,1068515,3740031,1830701,1909330,788356,374529,1162885,837481,3767,218780,8487,1068515,42954,197632,113003,944801,737665,395443,13434,1004270,2717,41065,16192,1878,2392,1068515,189429,180867,146012,143416,136113,132494,146861,154508,191986,193503,201998,198700,166643,160021,144030,141591,120720,126702,102581,116666,86118,98817,65020,77929,49273,60544,32945,42198,23674,32464,14066,22364,7932,14862,5299,11683
West Coast,West Coast,WC,1,DC1,Western Cape,,,,,84057,18421,3230,1071,106780,93240,217,1530,1832,5354,4607,106780,81684,1846,2690,18176,1095,1289,106780,391766,194539,197227,76458,46615,123073,93830,631,11017,1302,106780,13067,40178,19806,92104,58444,18947,700,100808,189,874,4249,262,397,106780,18631,18037,15955,15905,15709,15487,15962,16469,18868,18861,18638,18194,15090,14466,14500,14355,14333,14249,12206,12599,10254,10624,7999,8299,6082,6430,4252,4692,2916,3496,1760,2398,881,1455,504,1210
Matzikama,West Coast,WC,1,DC1,Western Cape,WC011,,160,214,13579,3624,1115,517,18835,13171,67,463,433,2996,1705,18835,12780,321,415,4449,407,462,18835,67147,33624,33523,13957,8219,22177,16650,103,1808,273,18835,2600,7718,3718,16268,8580,2737,85,16713,28,70,1814,115,93,18835,3296,3238,2917,2942,2860,2748,2974,3045,3180,3028,2816,2751,2485,2348,2309,2244,2351,2311,2260,2128,1888,1852,1461,1438,1026,1052,732,843,489,563,296,469,174,281,110,242
Cederberg,West Coast,WC,1,DC1,Western Cape,WC012,,161,215,10148,2636,603,126,13513,11158,24,175,229,969,958,13513,7805,488,596,4186,231,207,13513,49768,24994,24774,9759,5630,15389,11774,117,1475,147,13513,2413,6525,3175,11637,6159,1536,63,12005,33,384,999,33,60,13513,2390,2159,2079,2026,2063,2010,2057,1985,2319,2266,2362,2191,1956,1839,1760,1820,1753,1942,1601,1617,1425,1406,1011,1044,733,771,623,565,412,466,239,307,127,195,82,167
Bergrivier,West Coast,WC,1,DC1,Western Cape,WC013,,162,216,13593,2248,328,106,16275,14554,41,154,331,526,670,16275,10910,580,400,4069,123,193,16275,61897,30060,31837,11642,7105,18747,15193,180,578,323,16275,2447,7115,3555,13519,8600,2835,106,15449,44,112,554,28,87,16275,2709,2736,2521,2477,2498,2489,2535,2705,2584,2941,2622,2709,2225,2268,2360,2436,2258,2262,1861,2140,1591,1690,1422,1391,1030,1108,708,824,583,718,316,428,154,289,83,224
Saldanha Bay,West Coast,WC,1,DC1,Western Cape,WC014,,163,217,23112,4957,590,175,28833,27745,19,55,232,239,543,28833,27860,135,59,606,54,119,28833,99193,49389,49804,19274,12309,31583,23563,134,4950,187,28833,1540,7334,4117,26785,18529,5608,241,27966,40,228,443,55,101,28833,4978,4800,3876,3880,3784,3772,3874,3847,5177,5118,5172,5085,4113,3878,3767,3720,3614,3460,2887,3110,2471,2681,1889,2057,1457,1528,1030,1126,663,770,366,483,179,287,92,202
Swartland,West Coast,WC,1,DC1,Western Cape,WC015,,164,218,23626,4957,593,148,29324,26613,66,684,606,624,731,29324,22329,321,1219,4866,280,309,29324,113762,56472,57290,21826,13352,35178,26650,97,2205,372,29324,4068,11487,5241,23894,16576,6232,205,28675,43,80,438,32,56,29324,5257,5105,4562,4581,4504,4468,4523,4886,5608,5509,5665,5458,4311,4133,4303,4135,4357,4273,3598,3604,2879,2994,2216,2369,1836,1973,1158,1334,770,979,542,710,246,403,138,376
Witzenberg,Cape Winelands,WC,1,DC2,Western Cape,WC022,,165,219,21601,3308,2383,127,27419,25096,179,234,531,656,723,27419,19159,2346,1888,3097,622,306,27419,115946,59554,56392,23795,15017,38812,23641,225,3173,380,27419,4897,14958,6823,29911,13659,4240,146,25601,50,492,1040,122,114,27419,5238,5070,4729,4612,5043,4767,5024,4964,6586,5436,6597,5637,5403,4518,4928,4400,4213,4234,3449,3590,2741,2828,2020,2160,1448,1456,898,1002,558,696,363,467,172,301,145,253
Drakenstein,Cape Winelands,WC,1,DC2,Western Cape,WC023,,166,220,47825,8053,3529,365,59773,55899,83,355,1740,893,802,59773,51482,1668,1895,3233,883,612,59773,251262,123525,127737,54044,25848,79892,50874,321,8015,563,59773,5173,20534,10244,59034,43491,18249,585,56800,109,1376,1158,105,224,59773,12038,11745,10092,10049,10275,10093,11683,11607,12984,12397,11820,11252,8912,8802,9041,9058,8942,9595,7855,8652,6438,7223,4740,5403,3407,4027,2144,2722,1478,2090,888,1386,465,895,321,742
Stellenbosch,Cape Winelands,WC,1,DC2,Western Cape,WC024,,167,221,31434,3517,8061,405,43417,39511,321,376,1137,1038,1035,43417,37760,1066,1344,2058,768,420,43417,155728,76173,79555,35385,15131,50516,32623,251,9947,597,43417,3090,12782,6047,34281,25007,16859,424,40350,156,1772,898,52,190,43417,6765,6663,5590,5533,5503,5488,7370,8046,11359,11606,7967,7764,6023,5775,5123,5340,4933,5126,4184,4703,3417,3795,2655,3079,2052,2213,1339,1569,874,1151,515,774,316,498,188,431
Breede Valley,Cape Winelands,WC,1,DC2,Western Cape,WC025,,168,222,29453,7739,4720,615,42527,37514,366,261,1137,990,2260,42527,32011,2205,2148,4750,181,1232,42527,166825,81067,85758,37734,17953,55687,33148,301,8493,585,42527,4915,14704,7054,40064,25111,8136,319,37558,88,2889,1793,61,139,42527,8540,8165,7328,7416,7475,7495,7691,7718,7561,7660,7453,7517,6177,6159,5769,6256,5684,5952,4631,5343,3808,4672,3024,3491,2286,2719,1435,1784,1034,1411,567,965,357,563,248,474
Langeberg,Cape Winelands,WC,1,DC2,Western Cape,WC026,,169,223,20172,3532,1268,150,25121,22388,54,149,625,1073,833,25121,18007,650,283,5287,356,538,25121,97724,47891,49834,21539,12044,33583,22788,99,2023,212,25121,3582,12265,4958,21858,12861,3805,195,23662,39,241,902,76,202,25121,4894,4893,4489,4412,4627,4444,4309,4335,4241,4262,4138,4066,3445,3357,3271,3534,3463,3758,2941,3201,2271,2631,1808,2024,1376,1595,1045,1159,689,881,434,641,249,345,199,295
Theewaterskloof,Overberg,WC,1,DC3,Western Cape,WC031,,171,224,21177,3905,3592,236,28910,25056,83,582,323,565,2301,28910,22968,883,582,3281,739,456,28910,108864,55494,53370,21683,11220,32903,23227,497,4519,667,28910,3411,12183,6339,27302,13896,4876,183,25740,66,1870,1083,66,84,28910,5072,4950,4560,4386,4400,4374,4475,4557,5374,4687,6233,5150,4460,4019,4427,4067,4098,3916,3467,3437,2830,2851,2005,2111,1608,1747,1060,1152,691,811,391,555,193,300,150,301
