Local municipality name,District municipality name,Province name,Piped (tap) water inside dwelling,Piped (tap) water inside yard,Piped (tap) water on community stand,No access to piped (tap) water,Total Water,Flush toilet,Chemical toilet,Pit toilet,Bucket toilet,Other Toilet,No Toilet,Total Toilet,Removed by local authority/private company at least once a week,Removed by local authority/private company less often,Communal refuse dump,Communal container/central collection point of refuse dump,Removed regularly by municipality/ local authority/private company(communal container/central collection point) refuse dump,Own refuse dump,Other dumps,No rubbish disposal,Total refuse dump,Total Population,Male,Female,Attended School,Did not attend school,Total kids eligible for education,Formal dwelling,Traditional dwelling,Informal dwelling,Other dwellings,Total dwellings,No schooling,Some primary schooling,Completed primary schooling,Some secondary schooling,Grade 12/Std10,Higher education,Other type of education,Lighting Electricity,Lighting Gas,lighting Paraffin,lighting Candles,lighting Solar,Other lighting source,No energy for lighting,Total energy for lighting,Cooking Electricity,Cooking Gas,Cooking Paraffin,Cooking Wood,Cooking Coal,Cooking Animal dung,Cooking Solar,Cooking Other energy source,No energy for cooking,Total energy for Cooking,0 - 4 age Male,0 - 4 age Female,5-9 age Male,5-9 age Female,10-14 age Male,10-14 age Female,15-19 age Male,15-19 age Female,20-24 age Male,20-24 age Female,25-29 age Male,25-29 age Female,30-34 age Male,30-34 age Female,35 - 39 age Male,35 - 39 age Female,40 - 44 age Male,40 - 44 age Female,45 -49 age Male,45 - 49 age Female,50 - 54 age Male,50 -54 age Female,55  - 59 age Male,55 - 59 age Female,60 - 64 age Male,60 - 64 age Female,65 - 69 age Male,65 - 69 age Female,70 -74 age Male,70 -74 age Female,75 - 79 age Male,75 - 79 age Female,80 - 84 age Male,80 - 84 age Female,85+ age Male,85+ age Female,Black African peoples,Coloured peoples,Indian or Asian peoples,White peoples,Other peoples
,,,10638247,4043778,1587194,1559558,17828778,12627396,460395,3905391,371266,185823,278507,17828778,9738848,223558,287239,80840,2598693,3973060,121789,804752,17828778,62027503, 30076814 , 31947531 , 14528566 , 5265324 , 19793891 ,15776130,560415,1435535,56698,17828778,2576011,2778297,1317726,11880302,14122681,4602765,300207,16882396,45675,161485,562088,126055,22385,28694,17828778,11571636,4588608,482420,1084905,39773,3521,11839,15346,30730,17828778, 2918292 , 2915222 , 2561963 , 2547141 , 2713448 , 2690676 , 2504677 , 2470633 , 2670986 , 2638753 , 2825292 , 2907947 , 2776212 , 2816611 , 2596891 , 2625711 , 2089077 , 2096144 , 1586698 , 1706813 , 1277910 , 1491229 , 1100778 , 1395674 , 912280 , 1183387 , 672433 , 927238 , 419393 , 626614 , 238713 , 413321 , 132074 , 262740 , 79665 , 231868 , 50485026 , 5052299 , 1697468 , 4503780 , 247353 
,,Western Cape,1936409,172974,135151,19498,2264032,2125067,26087,8980,69866,7216,26816,2264032,1670617,30141,20463,34056,434241,40929,5476,28108,2264032,7430487, 3600589 , 3829897 , 1430441 , 704974 , 2135414 ,1991644,15430,251176,5783,2264032,107254,290290,183423,1608270,1687258,837320,50750,2185360,8088,24668,32079,8362,2192,3282,2264032,1447321,768547,31442,7935,349,104,2077,1816,4442,2264032, 303451 , 285404 , 259035 , 259253 , 276621 , 283077 , 258833 , 274149 , 326495 , 319406 , 344665 , 353493 , 342164 , 343501 , 336004 , 338635 , 277284 , 279060 , 206710 , 227631 , 177632 , 205846 , 150314 , 185278 , 121968 , 156758 , 89617 , 120664 , 61279 , 84309 , 37764 , 55825 , 20207 , 33361 , 11588 , 25059 , 2882777 , 3124727 , 84327 , 1217337 , 115235 
City of Cape Town,City of Cape Town,Western Cape,1240088,106423,94103,12231,1452845,1356649,21193,3939,53308,3373,14383,1452845,1135890,17973,10676,30022,227874,12137,2429,15845,1452845,4770313, 2306058 , 2464255 , 934103 , 423932 , 1358035 ,1271679,7419,170115,3632,1452845,57805,140554,93766,1003037,1115504,612161,35146,1405055,5227,17477,18249,3748,1215,1874,1452845,933298,491776,21535,1388,172,64,875,1078,2658,1452845, 195572 , 182952 , 165771 , 166684 , 176872 , 182943 , 163120 , 175322 , 210936 , 204639 , 224984 , 233101 , 227048 , 229801 , 223988 , 228203 , 184675 , 186469 , 133455 , 147099 , 109225 , 127335 , 92249 , 114323 , 72947 , 95085 , 51744 , 72203 , 34710 , 50163 , 21245 , 33193 , 11834 , 20000 , 6862 , 15603 , 2176332 , 1670971 , 75406 , 774035 , 69237 
,West Coast,Western Cape,130100,14138,4994,1609,150840,142492,374,841,3997,829,2307,150840,94387,1884,1453,486,41981,6932,850,2868,150840,497394, 243295 , 254099 , 93935 , 54229 , 148164 ,132174,2322,15752,592,150840,8259,28993,19695,123107,103610,31258,3047,144200,847,2375,2235,706,162,315,150840,99448,48406,1484,824,27,5,172,113,361,150840, 21061 , 20836 , 18675 , 18560 , 18819 , 18602 , 17468 , 18013 , 21462 , 21584 , 22830 , 22734 , 22171 , 22122 , 21157 , 20447 , 17362 , 17081 , 13769 , 14668 , 13385 , 14768 , 10859 , 13343 , 9105 , 10951 , 6607 , 8239 , 4396 , 5520 , 2392 , 3403 , 1208 , 1941 , 564 , 1282 , 100023 , 317022 , 1550 , 71678 , 7010 
Matzikama,West Coast,Western Cape,15902,2652,417,130,19101,17947,10,157,561,69,357,19101,12889,97,188,182,4207,1217,84,238,19101,69043, 33977 , 35066 , 13313 , 8158 , 21470 ,17045,115,1827,115,19101,1124,4373,3089,18223,13320,2837,345,18435,44,72,414,72,24,40,19101,13756,4870,73,310,3,0,29,16,44,19101, 3161 , 3171 , 2819 , 2753 , 2746 , 2790 , 2509 , 2493 , 2919 , 2946 , 3173 , 2974 , 3092 , 2910 , 2898 , 2709 , 2417 , 2360 , 1821 , 2001 , 1810 , 1980 , 1484 , 1849 , 1309 , 1479 , 858 , 1049 , 509 , 718 , 254 , 474 , 128 , 237 , 70 , 174 , 7029 , 53658 , 112 , 7581 , 653 
Cederberg,West Coast,Western Cape,11635,2660,1523,94,15912,14043,22,63,490,366,928,15912,9554,363,195,27,3156,1615,139,863,15912,55108, 27068 , 28040 , 8762 , 7379 , 16141 ,11953,1070,2865,24,15912,1160,3892,3056,15309,9424,2169,284,13891,174,1279,406,39,46,78,15912,9984,4659,954,175,5,0,6,29,99,15912, 2456 , 2401 , 1995 , 1848 , 1793 , 1782 , 1809 , 1913 , 2646 , 2844 , 3209 , 2944 , 2609 , 2561 , 2327 , 2347 , 1941 , 1772 , 1470 , 1596 , 1338 , 1635 , 1174 , 1335 , 906 , 1116 , 615 , 784 , 379 , 517 , 226 , 323 , 126 , 174 , 50 , 147 , 12028 , 37977 , 53 , 4369 , 674 
Bergrivier,West Coast,Western Cape,18115,2162,67,68,20412,19935,50,34,238,40,116,20412,12941,460,217,37,5339,1301,96,22,20412,70276, 33925 , 36351 , 12764 , 7887 , 20651 ,18699,282,1315,117,20412,1191,5110,3188,17426,13985,4724,405,20123,42,0,110,93,3,41,20412,14845,5377,20,72,0,0,25,14,59,20412, 2732 , 2648 , 2532 , 2453 , 2662 , 2651 , 2551 , 2558 , 2930 , 2865 , 2964 , 3019 , 2719 , 2911 , 2805 , 2824 , 2322 , 2438 , 2043 , 2248 , 1957 , 2271 , 1732 , 2241 , 1412 , 1756 , 1121 , 1352 , 731 , 941 , 416 , 593 , 201 , 347 , 93 , 233 , 7234 , 51143 , 103 , 10844 , 932 
Saldanha Bay,West Coast,Western Cape,43823,3164,2579,993,50559,47135,183,458,1764,260,758,50559,32527,357,164,33,15384,396,198,1500,50559,154635, 76440 , 78195 , 30574 , 15151 , 45725 ,44345,217,5882,116,50559,1459,6460,4592,40207,35642,11369,914,47876,476,918,994,198,33,64,50559,30037,19972,322,69,11,2,54,26,66,50559, 6601 , 6527 , 5689 , 5872 , 5925 , 5835 , 5230 , 5384 , 6860 , 6558 , 7121 , 6936 , 7416 , 7053 , 6889 , 6368 , 5624 , 5233 , 4180 , 4418 , 4079 , 4381 , 3120 , 3990 , 2827 , 3496 , 2166 , 2654 , 1416 , 1647 , 733 , 944 , 393 , 550 , 172 , 344 , 46658 , 79138 , 752 , 25542 , 2497 
Swartland,West Coast,Western Cape,40624,3500,408,324,44856,43431,108,130,944,94,148,44856,26476,607,689,206,13895,2403,333,246,44856,148331, 71885 , 76447 , 28523 , 15655 , 44177 ,40133,638,3864,221,44856,3323,9159,5770,31943,31239,10159,1099,43874,111,106,311,305,57,92,44856,30827,13528,114,197,8,3,57,27,94,44856, 6111 , 6089 , 5639 , 5633 , 5694 , 5544 , 5369 , 5665 , 6107 , 6371 , 6363 , 6862 , 6335 , 6686 , 6238 , 6199 , 5059 , 5278 , 4255 , 4406 , 4202 , 4501 , 3349 , 3927 , 2651 , 3103 , 1847 , 2400 , 1362 , 1698 , 763 , 1068 , 360 , 634 , 179 , 384 , 27074 , 95106 , 531 , 23343 , 2255 
,Cape Winelands,Western Cape,210922,17455,11413,2492,242283,233125,786,735,4335,762,2539,242283,161025,3817,5319,1774,58883,7386,716,3361,242283,862703, 418217 , 444486 , 167349 , 90061 , 257411 ,215031,1637,25038,576,242283,18227,46492,26569,190408,182629,83825,4376,235345,721,1954,3005,731,193,333,242283,161501,76179,2718,987,58,16,187,172,463,242283, 34967 , 32995 , 30004 , 29618 , 32161 , 32657 , 31843 , 32850 , 40199 , 40032 , 39970 , 42883 , 38937 , 38138 , 37351 , 36805 , 29877 , 30505 , 24455 , 26683 , 22245 , 25925 , 18671 , 22922 , 14273 , 18707 , 10380 , 13532 , 6338 , 8665 , 3650 , 5668 , 1769 , 3437 , 1039 , 2427 , 251207 , 469019 , 3138 , 127818 , 11030 
Witzenberg,Cape Winelands,Western Cape,22130,2327,1353,417,26227,25206,23,50,306,74,569,26227,15793,776,936,377,5664,2097,183,402,26227,103765, 51282 , 52483 , 18319 , 13002 , 31321 ,22998,216,2943,70,26227,3432,7455,4446,25753,19756,5472,385,25124,36,411,552,50,13,41,26227,19697,5803,454,185,12,2,14,8,52,26227, 4244 , 4141 , 3598 , 3651 , 3810 , 3793 , 3843 , 3861 , 5054 , 4740 , 5310 , 4984 , 5092 , 4894 , 4773 , 4603 , 3859 , 3574 , 2892 , 3309 , 2589 , 2921 , 2136 , 2495 , 1628 , 1996 , 1105 , 1414 , 634 , 879 , 367 , 538 , 169 , 382 , 105 , 279 , 27794 , 66033 , 158 , 8207 , 1475 
Drakenstein,Cape Winelands,Western Cape,68044,5579,2405,748,76776,74247,178,75,1905,112,260,76776,49710,970,831,443,22723,1452,184,463,76776,276800, 133988 , 142813 , 53091 , 27604 , 80696 ,69083,359,7140,195,76776,3884,14075,8093,59940,62112,30369,1717,75146,334,258,724,201,45,68,76776,51399,24451,417,283,19,2,59,37,110,76776, 11006 , 10126 , 9958 , 9693 , 10566 , 10576 , 9746 , 9983 , 11720 , 11832 , 12364 , 12266 , 12173 , 12159 , 12033 , 12152 , 9575 , 9830 , 7880 , 8907 , 7564 , 8906 , 6498 , 8142 , 4867 , 6413 , 3658 , 4758 , 2181 , 3047 , 1314 , 2080 , 576 , 1185 , 305 , 755 , 71759 , 152825 , 1174 , 46532 , 4220 
Stellenbosch,Cape Winelands,Western Cape,51511,2690,4611,814,59626,57703,72,149,499,183,1020,59626,43843,488,1614,307,11700,867,166,639,59626,175411, 85071 , 90339 , 37475 , 16201 , 53677 ,52063,398,7051,114,59626,2652,6731,3934,35427,37651,28608,1035,57775,116,576,746,283,50,79,59626,34383,24188,679,127,6,3,54,56,130,59626, 6775 , 6492 , 5463 , 5406 , 5787 , 6223 , 6354 , 7099 , 10020 , 10189 , 8980 , 8952 , 8187 , 8069 , 7730 , 7555 , 6259 , 6385 , 4646 , 5160 , 4173 , 4916 , 3435 , 4179 , 2650 , 3297 , 1949 , 2581 , 1327 , 1568 , 723 , 1097 , 383 , 653 , 225 , 518 , 64902 , 66315 , 842 , 40819 , 2449 
Breede Valley,Cape Winelands,Western Cape,45974,5487,2651,172,54284,51529,477,403,1311,178,386,54284,35348,1051,1408,468,12773,1582,91,1563,54284,212682, 102639 , 110043 , 41482 , 22890 , 64372 ,47623,392,6126,143,54284,5229,11054,6461,47441,44158,13773,729,52739,159,467,699,80,49,92,54284,36176,16791,889,233,6,2,26,39,122,54284, 9057 , 8493 , 7550 , 7770 , 8557 , 8401 , 8513 , 8377 , 9335 , 9247 , 9163 , 12369 , 9527 , 8898 , 9022 , 8558 , 7171 , 7476 , 6437 , 6338 , 5461 , 6157 , 4404 , 5399 , 3373 , 4656 , 2278 , 3141 , 1408 , 2114 , 758 , 1248 , 371 , 811 , 246 , 588 , 63715 , 125776 , 829 , 20161 , 2185 
Langeberg,Cape Winelands,Western Cape,23263,1373,392,342,25370,24441,36,58,314,215,305,25370,16331,532,530,179,6023,1389,91,293,25370,94045, 45238 , 48808 , 16981 , 10364 , 27345 ,23264,272,1778,55,25370,3031,7177,3635,21847,18953,5603,509,24561,77,241,284,118,36,53,25370,19846,4946,279,160,14,8,35,31,50,25370, 3885 , 3743 , 3435 , 3098 , 3442 , 3665 , 3386 , 3530 , 4070 , 4024 , 4153 , 4312 , 3958 , 4118 , 3793 , 3936 , 3013 , 3240 , 2601 , 2969 , 2458 , 3025 , 2198 , 2708 , 1754 , 2346 , 1390 , 1637 , 786 , 1058 , 488 , 706 , 270 , 405 , 158 , 287 , 23038 , 58071 , 135 , 12100 , 701 
,Overberg,Western Cape,114026,9309,9873,1590,134798,126434,459,252,1904,770,4978,134798,92646,1346,1136,692,29632,5398,552,3395,134798,359446, 176983 , 182463 , 58295 , 37016 , 95312 ,117986,924,15543,345,134798,7027,21509,13493,86440,76646,32686,2405,128832,602,1036,3294,752,112,171,134798,70409,60722,2606,588,23,7,177,57,209,134798, 14139 , 13224 , 11096 , 11167 , 11579 , 11938 , 11265 , 11740 , 16117 , 15142 , 17445 , 16445 , 16205 , 15586 , 15839 , 15293 , 13265 , 12583 , 9839 , 10384 , 8881 , 9983 , 7844 , 9445 , 7081 , 8684 , 5886 , 7361 , 4738 , 5634 , 3184 , 3822 , 1619 , 2353 , 938 , 1675 , 110183 , 168843 , 1076 , 73500 , 5196 
Theewaterskloof,Overberg,Western Cape,32785,3660,5341,1336,43121,36220,262,81,1265,588,4705,43121,24841,657,334,455,9684,3607,374,3169,43121,139563, 69712 , 69851 , 24627 , 15727 , 40354 ,34509,405,8076,131,43121,3015,10189,6335,37177,26394,6640,523, ,170,514,1926,179,32,66,43121,29580,11250,1924,225,7,5,35,28,68,43121, 5909 , 5585 , 4494 , 4634 , 4785 , 4929 , 4836 , 5000 , 7316 , 6492 , 7942 , 7033 , 6864 , 6285 , 6396 , 6088 , 5189 , 4877 , 3750 , 4014 , 3452 , 3758 , 2946 , 3486 , 2189 , 2774 , 1548 , 1929 , 1047 , 1313 , 584 , 802 , 283 , 459 , 172 , 391 , 48481 , 76990 , 399 , 11920 , 1752 
Overstrand,Overberg,Western Cape,52523,4040,3324,94,59980,59378,149,76,219,78,80,59980,46400,524,316,93,12163,302,72,109,59980,132495, 64376 , 68120 , 19452 , 11733 , 31185 ,54103,364,5347,166,59980,2004,4863,3326,29187,32992,18680,1266,57735,362,444,970,386,49,35,59980,22128,37113,480,75,10,2,91,12,69,59980, 4895 , 4504 , 3764 , 3676 , 3823 , 4020 , 3586 , 3775 , 5011 , 5054 , 5626 , 5724 , 5617 , 5709 , 5741 , 5701 , 5024 , 4800 , 3574 , 3674 , 3076 , 3508 , 2648 , 3337 , 2945 , 3602 , 2885 , 3640 , 2672 , 3014 , 1906 , 2163 , 1016 , 1338 , 559 , 878 , 50253 , 35644 , 381 , 44380 , 1684 
Cape Agulhas,Overberg,Western Cape,15313,338,546,23,16220,15985,29,7,98,6,95,16220,12700,40,32,18,2964,422,27,17,16220,40274, 19460 , 20814 , 5843 , 4263 , 10105 ,15310,56,837,16,16220,1122,2783,1764,9222,8460,4027,291,16100,30,2,34,47,5,2,16220,9226,6913,24,25,2,0,16,5,10,16220, 1491 , 1432 , 1188 , 1232 , 1238 , 1275 , 1199 , 1276 , 1585 , 1639 , 1614 , 1701 , 1613 , 1631 , 1752 , 1580 , 1403 , 1332 , 1110 , 1176 , 1139 , 1363 , 1081 , 1257 , 998 , 1207 , 773 , 978 , 582 , 728 , 413 , 472 , 166 , 305 , 117 , 228 , 5053 , 24366 , 162 , 9373 , 1075 
Swellendam,Overberg,Western Cape,13405,1272,663,138,15477,14851,21,88,323,97,98,15477,8705,123,454,126,4821,1067,79,101,15477,47114, 23436 , 23678 , 8374 , 5293 , 13667 ,14064,100,1281,31,15477,886,3674,2068,10854,8801,3340,325,14764,40,77,363,139,26,68,15477,9475,5445,178,264,5,0,35,13,62,15477, 1844 , 1703 , 1650 , 1625 , 1733 , 1713 , 1643 , 1688 , 2205 , 1957 , 2263 , 1986 , 2110 , 1960 , 1951 , 1925 , 1650 , 1574 , 1405 , 1519 , 1214 , 1354 , 1170 , 1365 , 949 , 1101 , 680 , 814 , 437 , 579 , 281 , 385 , 154 , 250 , 89 , 178 , 6396 , 31842 , 134 , 7827 , 685 
