Local municipality name,District municipality name,Province abbreviation,Province  code,District municipality code,Province name,Metro/Local municipality code,Unnamed: 7,Local municipality code,ID,Piped (tap) water inside dwelling,Piped (tap) water inside yard,Piped (tap) water on community stand,No access to piped (tap) water,Total Water,Flush toilet,Chemical toilet,Pit toilet,Bucket toilet,Other Toilet,No Toilet,Total Toilet,Removed by local authority/private company at least once a week,Removed by local authority/private company less often,Communal refuse dump,Communal container/central collection point of refuse dump,Removed regularly by municipality/ local authority/private company(communal container/central collection point) refuse dump,Own refuse dump,Other dumps,No rubbish disposal,Total refuse dump,Total Population,Male,Female,Attended School,Did not attend school,Total kids eligible for education,Formal dwelling,Traditional dwelling,Informal dwelling,Other dwellings,Total dwellings,No schooling,Some primary schooling,Completed primary schooling,Some secondary schooling,Grade 12/Std10,Higher education,Other type of education,Lighting Electricity,Lighting Gas,lighting Paraffin,lighting Candles,lighting Solar,Other lighting source,No energy for lighting,Total energy for lighting,Cooking Electricity,Cooking Gas,Cooking Paraffin,Cooking Wood,Cooking Coal,Cooking Animal dung,Cooking Solar,Cooking Other energy source,No energy for cooking,Total energy for Cooking,0 - 4 age Male,0 - 4 age Female,5-9 age Male,5-9 age Female,10-14 age Male,10-14 age Female,15-19 age Male,15-19 age Female,20-24 age Male,20-24 age Female,25-29 age Male,25-29 age Female,30-34 age Male,30-34 age Female,35 - 39 age Male,35 - 39 age Female,40 - 44 age Male,40 - 44 age Female,45 -49 age Male,45 - 49 age Female,50 - 54 age Male,50 -54 age Female,55  - 59 age Male,55 - 59 age Female,60 - 64 age Male,60 - 64 age Female,65 - 69 age Male,65 - 69 age Female,70 -74 age Male,70 -74 age Female,75 - 79 age Male,75 - 79 age Female,80 - 84 age Male,80 - 84 age Female,85+ age Male,85+ age Female,Black African peoples,Coloured peoples,Indian or Asian peoples,White peoples,Other peoples
,,,,,,,,,,,,,,,5812998,218387,3193433,457376,,1523512,11205705,6210215,172027,195679,,,3655043,,972741,11205705,44819778,21434040,23385737, 13727893 , 5463823 , 19191716 ,7680421,1654787,1836231,34266,11205705, 4567497 ,4083742,1623467,7846125,5200602,2151336,,7815270,27065,759817,2545532,24175,33845,,11205705,5761354,284295,2394919,2292674,310059,110969,24225,27210,,11205705,2223731,2226085,2425804,2427751,2518956,2542961,2453079,2528642,2099293,2195230,1899124,2035814,1594488,1746412,1441507,1630264,1233632,1385832,967604,1119776,769499,868521,552323,652943,444510,620784,304763,483164,232547,398922,136436,231101,90835,180111,45907,111425,35416166,3994505,1115467,4293640,
,,WC,1.0,,Western Cape,,,,,,,,,,1010829,3775,24239,43950,,90510,1173304,1029713,12124,26160,,,88630,,16676,1173304,4524335,2192321,2332014, 1115946 , 592291 , 1708237 ,954104,25768,189545,3886,1173304, 162781 ,431698,224529,1038110,665141,319129,,1032291,2849,83738,51568,1356,1502,,1173304,924151,39991,165008,34251,2651,3411,2047,1795,,1173304,204553,200989,205336,203870,210029,211923,217575,228671,210504,220328,209971,215830,191773,201055,174944,186539,146544,160856,112348,125208,91071,99069,67073,75291,54581,64310,38985,48766,27328,37051,16275,25036,9091,15649,4339,11572,1207429,2438976,45030,832901,
City of Cape Town,City of Cape Town,WC,1.0,CPT,Western Cape,CPT,,199.0,3.0,,,,,,662464,1579,6327,33946,,55169,759485,717028,8474,9532,,,13965,,10485,759485,2892243,1388744,1503499, 726489 , 369304 , 1095793 ,599471,14769,142981,2263,759485, 77100 ,216202,130332,713161,466582,230881,,674231,2067,66325,15785,576,500,,759485,608568,18592,122767,2729,1702,2450,1440,1237,,759485,127724,125017,127025,126911,130857,133215,138657,148579,140676,149873,138464,143441,121927,129838,111708,121586,93476,105061,70474,81149,57132,63934,41287,47306,32625,40161,22608,30430,16120,23547,9751,16053,5684,9957,2550,7442,916460,1391857,41489,542437,
,West Coast,WC,1.0,DC1,Western Cape,,,,,,,,,,62801,453,2408,2552,,5236,73449,52104,272,1943,,,18659,,472,73449,282672,140875,141798, 61882 , 41397 , 103279 ,66405,2073,4689,282,73449, 16179 ,38169,18499,58563,32439,11861,,64523,159,1801,6611,81,274,,73449,58155,4815,4047,5837,178,215,98,104,,73449,13352,13377,13665,13706,13478,13527,12908,12950,11618,11428,13149,12688,12998,12543,11727,11528,9723,9716,7738,7338,5918,5925,4517,4740,3681,3929,2766,3143,1811,2156,1056,1475,493,989,279,637,27784,204713,791,49384,
Matzikama,West Coast,WC,1.0,DC1,Western Cape,WC011,,160.0,214.0,,,,,,11382,104,858,802,,2043,15189,8926,65,385,,,5661,,152,15189,54199,27005,27194, 11876 , 8156 , 20032 ,13654,682,787,66,15189, 3650 ,7320,3524,11103,5497,1981,,12260,44,219,2507,20,138,,15189,10837,1982,382,1864,21,40,17,45,,15189,2597,2549,2845,2790,2654,2717,2462,2511,2021,2032,2147,2199,2238,2293,2247,2178,1983,1830,1589,1444,1177,1167,934,957,766,809,552,634,376,433,214,318,121,207,82,127,2853,41736,66,9544,
Cederberg,West Coast,WC,1.0,DC1,Western Cape,WC012,,161.0,215.0,,,,,,8347,215,249,351,,1266,10429,5385,91,832,,,4042,,79,10429,39559,19734,19825, 8327 , 5811 , 14138 ,9731,236,415,47,10429, 2942 ,6082,2983,7600,3589,1377,,8751,15,62,1541,17,42,,10429,7502,705,403,1732,42,18,18,9,,10429,1980,1984,1937,1909,1872,1829,1798,1677,1617,1499,1678,1798,1767,1841,1620,1539,1340,1397,1030,1006,802,818,667,658,581,582,419,484,274,293,209,231,101,163,42,116,3142,30964,26,5428,
Bergrivier,West Coast,WC,1.0,DC1,Western Cape,WC013,,162.0,216.0,,,,,,10284,17,529,313,,623,11766,7395,19,252,,,4035,,65,11766,46538,23235,23303, 9638 , 6505 , 16144 ,10990,459,243,74,11766, 2926 ,7016,3220,9610,5429,1885,,10661,22,86,957,18,23,,11766,9957,484,169,1120,17,5,11,3,,11766,2071,2042,2108,2133,2007,2064,1915,2113,1916,1888,2471,2131,2263,2000,2019,1937,1558,1562,1354,1251,969,990,752,844,636,707,539,600,352,440,186,300,73,186,45,116,2364,35133,64,8977,
Saldanha Bay,West Coast,WC,1.0,DC1,Western Cape,WC014,,163.0,217.0,,,,,,17998,37,102,113,,413,18663,17964,31,89,,,539,,40,18663,70261,34852,35409, 15685 , 10690 , 26375 ,15775,221,2613,53,18663, 2209 ,7432,4333,16576,9569,3299,,17091,53,954,546,12,7,,18663,15122,1044,2089,187,57,108,30,24,,18663,3347,3459,3318,3364,3356,3442,3363,3191,3197,3143,3361,3501,3369,3224,2774,2923,2436,2500,1850,1807,1435,1405,1005,1089,804,826,590,646,347,386,175,247,88,160,36,95,11928,44719,337,13277,
Swartland,West Coast,WC,1.0,DC1,Western Cape,WC015,,164.0,218.0,,,,,,14790,79,669,973,,891,17403,12434,67,384,,,4381,,136,17403,72115,36049,36066, 16356 , 10235 , 26591 ,16255,475,631,42,17403, 4452 ,10318,4439,13674,8355,3319,,15761,25,480,1060,13,64,,17403,14737,600,1004,934,40,44,22,22,,17403,3356,3344,3457,3509,3588,3474,3371,3458,2867,2866,3491,3059,3361,3185,3066,2951,2406,2427,1915,1830,1534,1546,1160,1192,893,1005,666,780,463,604,271,380,109,272,74,184,7498,52160,298,12159,
,Cape Winelands,WC,1.0,DC2,Western Cape,,,,,,,,,,128550,486,5238,2347,,12708,149329,105655,1898,11706,,,27022,,3047,149329,630284,308431,321853, 163201 , 83980 , 247181 ,127730,2898,18276,425,149329, 32122 ,83837,35275,123558,73422,35683,,131445,275,7154,10132,135,189,,149329,118875,6563,14768,8069,287,302,242,223,,149329,29764,29438,30496,29949,30954,30538,32179,33069,29716,30279,27800,28641,26608,28251,23995,25211,19885,21815,15770,17035,12730,12955,9160,9784,7199,8205,5144,6058,3528,4493,1933,2917,1023,1883,545,1333,124919,409480,1486,94398,
