year of record,Local municipality name,District municipality name,Province name,Piped (tap) water inside dwelling,Piped (tap) water inside yard,Piped (tap) water on community stand,No access to piped (tap) water,Total Water,Flush toilet,Chemical toilet,Pit toilet,Bucket toilet,Other Toilet,No Toilet,Total Toilet,Removed by local authority/private company at least once a week,Removed by local authority/private company less often,Communal refuse dump,Own refuse dump,Other dumps,No rubbish disposal,Total refuse dump,Total Population,Male,Female,Black African people,Coloured people,Indian or Asian people,White people,Other people,Attended School,Did not attend school,Total people eligible for education,Formal dwelling,Traditional dwelling,Informal dwelling,Other dwellings,Total dwellings,No schooling,Some primary schooling,Completed primary schooling,Some secondary schooling,Grade 12/Std10,Higher education,Other type of education,Electricity energy for lighting,Gas energy for lighting,Paraffin energy for lighting,Candles energy for lighting,Solar energy for lighting,Other energy for lightning,No energy for lightning,Total energy for lighting,Electricity energy for cooking,Gas energy for cooking,Paraffin energy for cooking,Wood energy for cooking,Coal energy for cooking,Animal dung energy for cooking,Solar energy for cooking,Other Energy for Cooking,No Energy for Cooking,Total energy for Cooking,age of Male between 0 and 4,age of Female between 0 and 4,age of Male between 5 and 9,age of female between 5 and 9,age of Male between 10 and 14,age of Female between 10 and 14,age of Male between 15 and 19,age of Female between 15 and 19,age of Male between 20 and 24,age of Female between 20 and 24,25-29 age of Male between 25 and 29,Age of Female between 25 and 29,Age of Male between 30 and 34,age of Female between 30 and 34,Age of Male between 35 and 39,age of Female between 35 and 39,age of Male between 40 and 44,age of Female between 40 and 44,Age of Male between 45 and 49,Age of Female between 45 and 49,Age of Male between 50 and 54,Age of Female between 50 and 54,Age of Male between 55 and 59,Age of Female between 55 and 59,age of Male between 60 and 64,age of Female between 60 and 64,65 - 69 age Male,65 - 69 age Female,70 -74 age Male,70 -74 age Female,75 - 79 age Male,75 - 79 age Female,80 - 84 age Male,80 - 84 age Female,85+ age Male,85+ age Female
2022,SA,,,"1,06,38,247","40,43,778","15,87,194","15,59,558","1,78,28,778","1,26,27,396","4,60,395","39,05,391","3,71,266","1,85,823","2,78,507","1,78,28,778","97,38,848","2,23,558","2,87,239","39,73,060","1,21,789","8,04,752","1,78,28,778","6,20,27,503","3,00,76,814","3,19,47,531","5,04,85,026","50,52,299","16,97,468","45,03,780","2,47,353","1,45,28,566","52,65,324","1,97,93,891","1,57,76,130","5,60,415","14,35,535","56,698","1,78,28,778","25,76,011","27,78,297","13,17,726","1,18,80,302","1,41,22,681","46,02,765","3,00,207","1,68,82,396","45,675","1,61,485","5,62,088","1,26,055","22,385","28,694","1,78,28,778","1,15,71,636","45,88,608","4,82,420","10,84,905","39,773","3,521","11,839","15,346","30,730","1,78,28,778","29,18,292","29,15,222","25,61,963","25,47,141","27,13,448","26,90,676","25,04,677","24,70,633","26,70,986","26,38,753","28,25,292","29,07,947","27,76,212","28,16,611","25,96,891","26,25,711","20,89,077","20,96,144","15,86,698","17,06,813","12,77,910","14,91,229","11,00,778","13,95,674","9,12,280","11,83,387","6,72,433","9,27,238","4,19,393","6,26,614","2,38,713","4,13,321","1,32,074","2,62,740","79,665","2,31,868"
2022,Western Cape,,Western Cape,"19,36,409","1,72,974","1,35,151","19,498","22,64,032","21,25,067","26,087","8,980","69,866","7,216","26,816","22,64,032","16,70,617","30,141","20,463","40,929","5,476","28,108","22,64,032","74,30,487","36,00,589","38,29,897","28,82,777","31,24,727","84,327","12,17,337","1,15,235","14,30,441","7,04,974","21,35,414","19,91,644","15,430","2,51,176","5,783","22,64,032","1,07,254","2,90,290","1,83,423","16,08,270","16,87,258","8,37,320","50,750","21,85,360","8,088","24,668","32,079","8,362","2,192","3,282","22,64,032","14,47,321","7,68,547","31,442","7,935",349,104,"2,077","1,816","4,442","22,64,032","3,03,451","2,85,404","2,59,035","2,59,253","2,76,621","2,83,077","2,58,833","2,74,149","3,26,495","3,19,406","3,44,665","3,53,493","3,42,164","3,43,501","3,36,004","3,38,635","2,77,284","2,79,060","2,06,710","2,27,631","1,77,632","2,05,846","1,50,314","1,85,278","1,21,968","1,56,758","89,617","1,20,664","61,279","84,309","37,764","55,825","20,207","33,361","11,588","25,059"
2022,City of Cape Town,,Western Cape,"12,40,088","1,06,423","94,103","12,231","14,52,845","13,56,649","21,193","3,939","53,308","3,373","14,383","14,52,845","11,35,890","17,973","10,676","12,137","2,429","15,845","14,52,845","47,70,313","23,06,058","24,64,255","21,76,332","16,70,971","75,406","7,74,035","69,237","9,34,103","4,23,932","13,58,035","12,71,679","7,419","1,70,115","3,632","14,52,845","57,805","1,40,554","93,766","10,03,037","11,15,504","6,12,161","35,146","14,05,055","5,227","17,477","18,249","3,748","1,215","1,874","14,52,845","9,33,298","4,91,776","21,535","1,388",172,64,875,"1,078","2,658","14,52,845","1,95,572","1,82,952","1,65,771","1,66,684","1,76,872","1,82,943","1,63,120","1,75,322","2,10,936","2,04,639","2,24,984","2,33,101","2,27,048","2,29,801","2,23,988","2,28,203","1,84,675","1,86,469","1,33,455","1,47,099","1,09,225","1,27,335","92,249","1,14,323","72,947","95,085","51,744","72,203","34,710","50,163","21,245","33,193","11,834","20,000","6,862","15,603"
2022,West Coast,West Coast,Western Cape,"1,30,100","14,138","4,994","1,609","1,50,840","1,42,492",374,841,"3,997",829,"2,307","1,50,840","94,387","1,884","1,453","6,932",850,"2,868","1,50,840","4,97,394","2,43,295","2,54,099","1,00,023","3,17,022","1,550","71,678","7,010","93,935","54,229","1,48,164","1,32,174","2,322","15,752",592,"1,50,840","8,259","28,993","19,695","1,23,107","1,03,610","31,258","3,047","1,44,200",847,"2,375","2,235",706,162,315,"1,50,840","99,448","48,406","1,484",824,27,5,172,113,361,"1,50,840","21,061","20,836","18,675","18,560","18,819","18,602","17,468","18,013","21,462","21,584","22,830","22,734","22,171","22,122","21,157","20,447","17,362","17,081","13,769","14,668","13,385","14,768","10,859","13,343","9,105","10,951","6,607","8,239","4,396","5,520","2,392","3,403","1,208","1,941",564,"1,282"
2022,Matzikama,West Coast,Western Cape,"15,902","2,652",417,130,"19,101","17,947",10,157,561,69,357,"19,101","12,889",97,188,"1,217",84,238,"19,101","69,043","33,977","35,066","7,029","53,658",112,"7,581",653,"13,313","8,158","21,470","17,045",115,"1,827",115,"19,101","1,124","4,373","3,089","18,223","13,320","2,837",345,"18,435",44,72,414,72,24,40,"19,101","13,756","4,870",73,310,3,0,29,16,44,"19,101","3,161","3,171","2,819","2,753","2,746","2,790","2,509","2,493","2,919","2,946","3,173","2,974","3,092","2,910","2,898","2,709","2,417","2,360","1,821","2,001","1,810","1,980","1,484","1,849","1,309","1,479",858,"1,049",509,718,254,474,128,237,70,174
2022,Cederberg,West Coast,Western Cape,"11,635","2,660","1,523",94,"15,912","14,043",22,63,490,366,928,"15,912","9,554",363,195,"1,615",139,863,"15,912","55,108","27,068","28,040","12,028","37,977",53,"4,369",674,"8,762","7,379","16,141","11,953","1,070","2,865",24,"15,912","1,160","3,892","3,056","15,309","9,424","2,169",284,"13,891",174,"1,279",406,39,46,78,"15,912","9,984","4,659",954,175,5,0,6,29,99,"15,912","2,456","2,401","1,995","1,848","1,793","1,782","1,809","1,913","2,646","2,844","3,209","2,944","2,609","2,561","2,327","2,347","1,941","1,772","1,470","1,596","1,338","1,635","1,174","1,335",906,"1,116",615,784,379,517,226,323,126,174,50,147
2022,Bergrivier,West Coast,Western Cape,"18,115","2,162",67,68,"20,412","19,935",50,34,238,40,116,"20,412","12,941",460,217,"1,301",96,22,"20,412","70,276","33,925","36,351","7,234","51,143",103,"10,844",932,"12,764","7,887","20,651","18,699",282,"1,315",117,"20,412","1,191","5,110","3,188","17,426","13,985","4,724",405,"20,123",42,0,110,93,3,41,"20,412","14,845","5,377",20,72,0,0,25,14,59,"20,412","2,732","2,648","2,532","2,453","2,662","2,651","2,551","2,558","2,930","2,865","2,964","3,019","2,719","2,911","2,805","2,824","2,322","2,438","2,043","2,248","1,957","2,271","1,732","2,241","1,412","1,756","1,121","1,352",731,941,416,593,201,347,93,233
2022,Saldanha Bay,West Coast,Western Cape,"43,823","3,164","2,579",993,"50,559","47,135",183,458,"1,764",260,758,"50,559","32,527",357,164,396,198,"1,500","50,559","1,54,635","76,440","78,195","46,658","79,138",752,"25,542","2,497","30,574","15,151","45,725","44,345",217,"5,882",116,"50,559","1,459","6,460","4,592","40,207","35,642","11,369",914,"47,876",476,918,994,198,33,64,"50,559","30,037","19,972",322,69,11,2,54,26,66,"50,559","6,601","6,527","5,689","5,872","5,925","5,835","5,230","5,384","6,860","6,558","7,121","6,936","7,416","7,053","6,889","6,368","5,624","5,233","4,180","4,418","4,079","4,381","3,120","3,990","2,827","3,496","2,166","2,654","1,416","1,647",733,944,393,550,172,344
2022,Swartland,West Coast,Western Cape,"40,624","3,500",408,324,"44,856","43,431",108,130,944,94,148,"44,856","26,476",607,689,"2,403",333,246,"44,856","1,48,331","71,885","76,447","27,074","95,106",531,"23,343","2,255","28,523","15,655","44,177","40,133",638,"3,864",221,"44,856","3,323","9,159","5,770","31,943","31,239","10,159","1,099","43,874",111,106,311,305,57,92,"44,856","30,827","13,528",114,197,8,3,57,27,94,"44,856","6,111","6,089","5,639","5,633","5,694","5,544","5,369","5,665","6,107","6,371","6,363","6,862","6,335","6,686","6,238","6,199","5,059","5,278","4,255","4,406","4,202","4,501","3,349","3,927","2,651","3,103","1,847","2,400","1,362","1,698",763,"1,068",360,634,179,384
2022,Cape Winelands,Cape Winelands,Western Cape,"2,10,922","17,455","11,413","2,492","2,42,283","2,33,125",786,735,"4,335",762,"2,539","2,42,283","1,61,025","3,817","5,319","7,386",716,"3,361","2,42,283","8,62,703","4,18,217","4,44,486","2,51,207","4,69,019","3,138","1,27,818","11,030","1,67,349","90,061","2,57,411","2,15,031","1,637","25,038",576,"2,42,283","18,227","46,492","26,569","1,90,408","1,82,629","83,825","4,376","2,35,345",721,"1,954","3,005",731,193,333,"2,42,283","1,61,501","76,179","2,718",987,58,16,187,172,463,"2,42,283","34,967","32,995","30,004","29,618","32,161","32,657","31,843","32,850","40,199","40,032","39,970","42,883","38,937","38,138","37,351","36,805","29,877","30,505","24,455","26,683","22,245","25,925","18,671","22,922","14,273","18,707","10,380","13,532","6,338","8,665","3,650","5,668","1,769","3,437","1,039","2,427"
